locus_tag	ftype	length_bp	gene	EC_number	COG	product
ENMNMPHH_00037	CDS	234				hypothetical protein
ENMNMPHH_00038	CDS	1359				hypothetical protein
ENMNMPHH_00039	CDS	246				hypothetical protein
ENMNMPHH_00040	CDS	942	sugA		COG1175	Trehalose transport system permease protein SugA
ENMNMPHH_00041	CDS	828	araQ_1		COG0395	L-arabinose transport system permease protein AraQ
ENMNMPHH_00042	CDS	1284	msmE_1		COG1653	Multiple sugar-binding protein
ENMNMPHH_00043	CDS	1812		2.7.13.3	COG2972	putative sensor-like histidine kinase
ENMNMPHH_00044	CDS	1578			COG4753	putative response regulatory protein
ENMNMPHH_00045	tRNA	74				tRNA-Gly(tcc)
ENMNMPHH_00046	CDS	669	pheT_1	6.1.1.20		Phenylalanine--tRNA ligase beta subunit
ENMNMPHH_00047	CDS	1134	queG	1.17.99.6	COG1600	Epoxyqueuosine reductase
ENMNMPHH_00048	CDS	891				hypothetical protein
ENMNMPHH_00049	CDS	486	trmL	2.1.1.207	COG0219	tRNA (cytidine(34)-2'-O)-methyltransferase
ENMNMPHH_00050	CDS	93				hypothetical protein
ENMNMPHH_00051	CDS	144				hypothetical protein
ENMNMPHH_00052	CDS	1896				hypothetical protein
ENMNMPHH_00053	CDS	162				hypothetical protein
ENMNMPHH_00054	CDS	1173				hypothetical protein
ENMNMPHH_00055	CDS	1386	htpX_1	3.4.24.-		Protease HtpX
ENMNMPHH_00056	CDS	1416	gabR		COG1167	HTH-type transcriptional regulatory protein GabR
ENMNMPHH_00057	CDS	1302	davT_1	2.6.1.48	COG0160	5-aminovalerate aminotransferase DavT
ENMNMPHH_00058	CDS	1392	yhdG_1		COG0531	putative amino acid permease YhdG
ENMNMPHH_00059	CDS	1392	gabD	1.2.1.79	COG1012	Succinate-semialdehyde dehydrogenase [NADP(+)]
ENMNMPHH_00060	CDS	690	chbG	3.5.1.105	COG3394	Chitooligosaccharide deacetylase ChbG
ENMNMPHH_00061	CDS	1023				hypothetical protein
ENMNMPHH_00062	CDS	1731	phoR_1	2.7.13.3	COG0642	Alkaline phosphatase synthesis sensor protein PhoR
ENMNMPHH_00063	CDS	717	sphR_1		COG0745	Alkaline phosphatase synthesis transcriptional regulatory protein SphR
ENMNMPHH_00064	CDS	186				hypothetical protein
ENMNMPHH_00065	CDS	1410	gerAA_1			Spore germination protein A1
ENMNMPHH_00066	CDS	1182	gerBC_1			Spore germination protein B3
ENMNMPHH_00067	CDS	1116	gerAB_1			Spore germination protein A2
ENMNMPHH_00068	CDS	213				hypothetical protein
ENMNMPHH_00069	CDS	420				hypothetical protein
ENMNMPHH_00070	CDS	453				hypothetical protein
ENMNMPHH_00071	CDS	834				hypothetical protein
ENMNMPHH_00072	CDS	177				hypothetical protein
ENMNMPHH_00073	CDS	1011	ccpA_1		COG1609	Catabolite control protein A
ENMNMPHH_00074	CDS	1233	msmE_2		COG1653	Multiple sugar-binding protein
ENMNMPHH_00075	CDS	864	ugpA_1		COG1175	sn-glycerol-3-phosphate transport system permease protein UgpA
ENMNMPHH_00076	CDS	822	araQ_2		COG0395	L-arabinose transport system permease protein AraQ
ENMNMPHH_00077	CDS	723				hypothetical protein
ENMNMPHH_00078	CDS	693	dcuR		COG4565	Transcriptional regulatory protein DcuR
ENMNMPHH_00079	CDS	1578	dcuS	2.7.13.3	COG3290	Sensor histidine kinase DcuS
ENMNMPHH_00080	CDS	1029	dctP_1		COG1638	C4-dicarboxylate-binding periplasmic protein DctP
ENMNMPHH_00081	CDS	1263	dctA_1		COG1301	C4-dicarboxylate transport protein
ENMNMPHH_00082	CDS	621				hypothetical protein
ENMNMPHH_00083	CDS	999	pitA		COG0306	Low-affinity inorganic phosphate transporter 1
ENMNMPHH_00084	CDS	552	ydjA	1.-.-.-	COG0778	Putative NAD(P)H nitroreductase YdjA
ENMNMPHH_00085	CDS	177				hypothetical protein
ENMNMPHH_00086	CDS	768	ybbA_1		COG2819	putative protein YbbA
ENMNMPHH_00087	CDS	591	azoR	1.7.-.-		FMN-dependent NADH-azoreductase
ENMNMPHH_00088	CDS	1923	aprX	3.4.21.-	COG1404	Serine protease AprX
ENMNMPHH_00089	CDS	402	mhqP	1.-.-.-	COG2259	Putative oxidoreductase MhqP
ENMNMPHH_00090	CDS	837				hypothetical protein
ENMNMPHH_00091	CDS	831	yvgN	1.1.1.-	COG0656	Glyoxal reductase
ENMNMPHH_00092	CDS	588				hypothetical protein
ENMNMPHH_00093	CDS	426				hypothetical protein
ENMNMPHH_00094	CDS	201				hypothetical protein
ENMNMPHH_00095	CDS	888	rluD_1	5.4.99.23	COG0564	Ribosomal large subunit pseudouridine synthase D
ENMNMPHH_00096	CDS	402				hypothetical protein
ENMNMPHH_00097	CDS	465	trxA_1		COG0526	Thioredoxin
ENMNMPHH_00098	CDS	438	bdbC		COG1495	Disulfide bond formation protein C
ENMNMPHH_00099	CDS	591	kstR2_1			HTH-type transcriptional repressor KstR2
ENMNMPHH_00100	CDS	420	hrp1_1			Hypoxic response protein 1
ENMNMPHH_00101	CDS	663	cbbY	3.1.3.-	COG0637	Protein CbbY
ENMNMPHH_00102	CDS	1545	yafV_1	3.5.1.3		Omega-amidase YafV
ENMNMPHH_00103	CDS	561	glpP_1		COG1954	Glycerol uptake operon antiterminator regulatory protein
ENMNMPHH_00104	CDS	816	glpF		COG0580	Glycerol uptake facilitator protein
ENMNMPHH_00105	CDS	1491	glpK	2.7.1.30	COG0554	Glycerol kinase
ENMNMPHH_00106	CDS	1671	glpD	1.1.5.3	COG0578	Aerobic glycerol-3-phosphate dehydrogenase
ENMNMPHH_00107	CDS	1731	pgcA	5.4.2.2		Phosphoglucomutase
ENMNMPHH_00108	CDS	1122	liaS_1	2.7.13.3	COG4585	Sensor histidine kinase LiaS
ENMNMPHH_00109	CDS	642	liaR_1		COG2197	Transcriptional regulatory protein LiaR
ENMNMPHH_00110	CDS	528	azr	1.7.-.-	COG0431	FMN-dependent NADPH-azoreductase
ENMNMPHH_00111	CDS	252				hypothetical protein
ENMNMPHH_00112	CDS	705				hypothetical protein
ENMNMPHH_00113	CDS	1356				hypothetical protein
ENMNMPHH_00114	CDS	312				hypothetical protein
ENMNMPHH_00115	CDS	903	rbsK_1	2.7.1.15	COG0524	Ribokinase
ENMNMPHH_00116	CDS	900	yteP_1		COG4209	putative multiple-sugar transport system permease YteP
ENMNMPHH_00117	CDS	879	araQ_3		COG0395	L-arabinose transport system permease protein AraQ
ENMNMPHH_00118	CDS	1458	lipO_1		COG1653	Lipoprotein LipO
ENMNMPHH_00119	CDS	2103				hypothetical protein
ENMNMPHH_00120	CDS	1059	ccpA_2		COG1609	Catabolite control protein A
ENMNMPHH_00121	CDS	1137				hypothetical protein
ENMNMPHH_00122	CDS	459	arsC_1	1.20.4.4	COG0394	Arsenate reductase
ENMNMPHH_00123	CDS	165				hypothetical protein
ENMNMPHH_00124	CDS	1920	xynZ	3.2.1.8	COG2382	Endo-1,4-beta-xylanase Z
ENMNMPHH_00125	CDS	438	nsrR		COG1959	HTH-type transcriptional repressor NsrR
ENMNMPHH_00126	CDS	1215	hmp	1.14.12.17	COG1017	Flavohemoprotein
ENMNMPHH_00127	CDS	1203	tetA_1			Tetracycline resistance protein, class B
ENMNMPHH_00128	CDS	1410				hypothetical protein
ENMNMPHH_00129	CDS	384				hypothetical protein
ENMNMPHH_00130	CDS	513	yhjQ		COG1145	putative cysteine-rich protein YhjQ
ENMNMPHH_00131	CDS	447				hypothetical protein
ENMNMPHH_00132	CDS	1359		1.18.1.2		Ferredoxin--NADP reductase
ENMNMPHH_00133	CDS	198				hypothetical protein
ENMNMPHH_00134	CDS	1257	ycaD_1			putative MFS-type transporter YcaD
ENMNMPHH_00135	CDS	348	aseR		COG0640	HTH-type transcriptional repressor AseR
ENMNMPHH_00136	CDS	1296	arsB		COG1055	Arsenical pump membrane protein
ENMNMPHH_00137	CDS	444	arsC_2	1.20.4.4	COG0394	Arsenate reductase
ENMNMPHH_00138	CDS	363	arsD			Arsenical resistance operon trans-acting repressor ArsD
ENMNMPHH_00139	CDS	1779	arsA	3.6.3.16		Arsenical pump-driving ATPase
ENMNMPHH_00140	CDS	429				hypothetical protein
ENMNMPHH_00141	CDS	282	erpA_1			Iron-sulfur cluster insertion protein ErpA
ENMNMPHH_00142	CDS	489	ywnH_1	2.3.1.183	COG1247	Putative phosphinothricin acetyltransferase YwnH
ENMNMPHH_00143	CDS	1089	ysdC_1	3.4.11.-	COG1363	Putative aminopeptidase YsdC
ENMNMPHH_00144	CDS	360	crcB_1		COG0239	Putative fluoride ion transporter CrcB
ENMNMPHH_00145	CDS	399	crcB_2		COG0239	Putative fluoride ion transporter CrcB
ENMNMPHH_00146	CDS	675	srrA_1		COG0745	Transcriptional regulatory protein SrrA
ENMNMPHH_00147	CDS	1395	baeS_1	2.7.13.3	COG0642	Signal transduction histidine-protein kinase BaeS
ENMNMPHH_00148	CDS	564	ypmQ_1		COG1999	SCO1 protein 
ENMNMPHH_00149	CDS	1413				hypothetical protein
ENMNMPHH_00150	CDS	471				hypothetical protein
ENMNMPHH_00151	CDS	153				hypothetical protein
ENMNMPHH_00152	CDS	1653	rnjA_1	3.1.-.-	COG0595	Ribonuclease J1
ENMNMPHH_00153	CDS	1302	garP			putative galactarate transporter
ENMNMPHH_00154	CDS	1473	bicA		COG0659	Bicarbonate transporter BicA
ENMNMPHH_00155	CDS	111				hypothetical protein
ENMNMPHH_00156	CDS	153				hypothetical protein
ENMNMPHH_00157	CDS	252	nhaX_1		COG0589	Stress response protein NhaX
ENMNMPHH_00158	CDS	918	putB	1.5.5.2	COG0506	Proline dehydrogenase 2
ENMNMPHH_00159	CDS	1542	putC	1.2.1.88	COG1012	1-pyrroline-5-carboxylate dehydrogenase 2
ENMNMPHH_00160	CDS	1470	putP		COG0591	High-affinity proline transporter PutP
ENMNMPHH_00161	CDS	267				hypothetical protein
ENMNMPHH_00162	CDS	1011	cytR_1		COG1609	HTH-type transcriptional repressor CytR
ENMNMPHH_00163	CDS	765	iolE_1	4.2.1.44		Inosose dehydratase
ENMNMPHH_00164	CDS	1296	msmE_3		COG1653	Multiple sugar-binding protein
ENMNMPHH_00165	CDS	948	lacF_1			Lactose transport system permease protein LacF
ENMNMPHH_00166	CDS	822	ycjP		COG0395	Inner membrane ABC transporter permease protein YcjP
ENMNMPHH_00167	CDS	1098	iolG_1	1.1.1.18	COG0673	Myo-inositol 2-dehydrogenase
ENMNMPHH_00168	CDS	1221	putR_1			Proline-responsive transcriptional activator PutR
ENMNMPHH_00169	CDS	327				hypothetical protein
ENMNMPHH_00170	CDS	408				hypothetical protein
ENMNMPHH_00171	CDS	681				hypothetical protein
ENMNMPHH_00172	CDS	2019	atoC_1		COG2204	Regulatory protein AtoC
ENMNMPHH_00173	CDS	1419				hypothetical protein
ENMNMPHH_00174	CDS	1176	iadA	3.4.19.-		Isoaspartyl dipeptidase
ENMNMPHH_00175	CDS	2526	cphE	3.4.15.6		Cyanophycinase
ENMNMPHH_00176	CDS	1038				hypothetical protein
ENMNMPHH_00177	CDS	1434	rocR_1		COG3829	Arginine utilization regulatory protein RocR
ENMNMPHH_00178	CDS	1548	rocA	1.2.1.88	COG1012	1-pyrroline-5-carboxylate dehydrogenase
ENMNMPHH_00179	CDS	1203	rocD_1	2.6.1.13	COG4992	Ornithine aminotransferase
ENMNMPHH_00180	CDS	1278	rocG	1.4.1.2	COG0334	Catabolic NAD-specific glutamate dehydrogenase RocG
ENMNMPHH_00181	CDS	651	pgpB_1	3.1.3.27	COG0671	Phosphatidylglycerophosphatase B
ENMNMPHH_00182	CDS	813				hypothetical protein
ENMNMPHH_00183	CDS	480	carD		COG1329	RNA polymerase-binding transcription factor CarD
ENMNMPHH_00184	CDS	318	arsR_1		COG0640	Arsenical resistance operon repressor
ENMNMPHH_00185	CDS	1272	ybbY		COG2233	Putative purine permease YbbY
ENMNMPHH_00186	CDS	129				hypothetical protein
ENMNMPHH_00187	CDS	873	catM			HTH-type transcriptional regulator CatM
ENMNMPHH_00188	CDS	1209	atzC	3.5.4.42		N-isopropylammelide isopropyl amidohydrolase
ENMNMPHH_00189	CDS	471				hypothetical protein
ENMNMPHH_00190	CDS	303				hypothetical protein
ENMNMPHH_00191	CDS	1173	chrA			Chromate transport protein
ENMNMPHH_00192	CDS	528	yfiT	3.-.-.-		Putative metal-dependent hydrolase YfiT
ENMNMPHH_00193	CDS	870				hypothetical protein
ENMNMPHH_00194	CDS	969	fieF_1			Ferrous-iron efflux pump FieF
ENMNMPHH_00195	CDS	1125	yhhT		COG0628	Putative transport protein YhhT
ENMNMPHH_00196	CDS	372				hypothetical protein
ENMNMPHH_00197	CDS	744				hypothetical protein
ENMNMPHH_00198	CDS	660	carH_1			HTH-type transcriptional repressor CarH
ENMNMPHH_00199	CDS	1470	nhaP2		COG3263	K(+)/H(+) antiporter NhaP2
ENMNMPHH_00200	CDS	108				hypothetical protein
ENMNMPHH_00201	CDS	606	yohD		COG0586	Inner membrane protein YohD
ENMNMPHH_00202	CDS	486				hypothetical protein
ENMNMPHH_00203	CDS	567	copC			Copper resistance protein C
ENMNMPHH_00204	CDS	1074				hypothetical protein
ENMNMPHH_00205	CDS	459				hypothetical protein
ENMNMPHH_00206	CDS	570				hypothetical protein
ENMNMPHH_00207	CDS	147				hypothetical protein
ENMNMPHH_00208	CDS	1089	ynaI		COG0668	Low conductance mechanosensitive channel YnaI
ENMNMPHH_00209	CDS	804	proC_1	1.5.1.2		Pyrroline-5-carboxylate reductase
ENMNMPHH_00210	CDS	888				hypothetical protein
ENMNMPHH_00211	CDS	108				hypothetical protein
ENMNMPHH_00212	CDS	783				hypothetical protein
ENMNMPHH_00213	CDS	564	sigL		COG1595	ECF RNA polymerase sigma factor SigL
ENMNMPHH_00214	CDS	1044	nrdB_1	1.17.4.1	COG0208	Ribonucleoside-diphosphate reductase subunit beta
ENMNMPHH_00215	CDS	2277	nrdE1_1	1.17.4.1	COG0209	Ribonucleoside-diphosphate reductase subunit alpha 1
ENMNMPHH_00216	CDS	855	dat_1	2.6.1.21		D-alanine aminotransferase
ENMNMPHH_00217	CDS	1392	nhaC		COG1757	Na(+)/H(+) antiporter NhaC
ENMNMPHH_00218	CDS	282				hypothetical protein
ENMNMPHH_00219	CDS	1302	hemAT_1		COG0840	Heme-based aerotactic transducer HemAT
ENMNMPHH_00220	CDS	519	nhaX_2		COG0589	Stress response protein NhaX
ENMNMPHH_00221	CDS	2346	pbpF_1		COG0744	Penicillin-binding protein 1F
ENMNMPHH_00222	CDS	159				hypothetical protein
ENMNMPHH_00223	CDS	315				hypothetical protein
ENMNMPHH_00224	CDS	195				hypothetical protein
ENMNMPHH_00225	CDS	318				hypothetical protein
ENMNMPHH_00226	CDS	1758	yheI	3.6.3.-	COG1132	putative multidrug resistance ABC transporter ATP-binding/permease protein YheI
ENMNMPHH_00227	CDS	2019	yheH	3.6.3.-	COG1132	putative multidrug resistance ABC transporter ATP-binding/permease protein YheH
ENMNMPHH_00228	CDS	618				hypothetical protein
ENMNMPHH_00229	CDS	816	tcyA		COG0834	L-cystine-binding protein TcyA
ENMNMPHH_00230	CDS	711	tcyB		COG0765	L-cystine transport system permease protein TcyB
ENMNMPHH_00231	CDS	738	tcyC	3.6.3.-	COG1126	L-cystine import ATP-binding protein TcyC
ENMNMPHH_00232	CDS	150				hypothetical protein
ENMNMPHH_00233	CDS	207				Small, acid-soluble spore protein 1
ENMNMPHH_00234	CDS	270				hypothetical protein
ENMNMPHH_00235	CDS	1113	sugC_1	3.6.3.-	COG3839	Trehalose import ATP-binding protein SugC
ENMNMPHH_00236	CDS	888	lrp			Leucine-rich protein
ENMNMPHH_00237	CDS	189				hypothetical protein
ENMNMPHH_00238	CDS	213				hypothetical protein
ENMNMPHH_00239	CDS	1062	yheD_1			Endospore coat-associated protein YheD
ENMNMPHH_00240	CDS	1362	yheD_2			Endospore coat-associated protein YheD
ENMNMPHH_00241	CDS	1374	yheD_3			Endospore coat-associated protein YheD
ENMNMPHH_00242	CDS	1143				hypothetical protein
ENMNMPHH_00243	CDS	354				hypothetical protein
ENMNMPHH_00244	CDS	867	yhaX		COG0561	Stress response protein YhaX
ENMNMPHH_00245	CDS	939				hypothetical protein
ENMNMPHH_00246	CDS	480				hypothetical protein
ENMNMPHH_00247	CDS	729	ycsE	3.1.3.104		5-amino-6-(5-phospho-D-ribitylamino)uracil phosphatase YcsE
ENMNMPHH_00248	CDS	1524	hemZ	1.3.99.-	COG0635	Oxygen-independent coproporphyrinogen-III oxidase-like protein HemZ
ENMNMPHH_00249	CDS	489				hypothetical protein
ENMNMPHH_00250	CDS	462				hypothetical protein
ENMNMPHH_00251	CDS	1560		6.2.1.3	COG0318	Long-chain-fatty-acid--CoA ligase FadD13
ENMNMPHH_00252	CDS	1149	mmgC_1	1.3.99.-	COG1960	Acyl-CoA dehydrogenase
ENMNMPHH_00253	CDS	864	hbd_1	1.1.1.157	COG1250	3-hydroxybutyryl-CoA dehydrogenase
ENMNMPHH_00254	CDS	1152	fadA_1	2.3.1.-	COG0183	Putative acyltransferase
ENMNMPHH_00255	CDS	771	paaG_1	5.3.3.18	COG1024	1,2-epoxyphenylacetyl-CoA isomerase
ENMNMPHH_00256	CDS	186				hypothetical protein
ENMNMPHH_00257	CDS	900	natA_1		COG4555	ABC transporter ATP-binding protein NatA
ENMNMPHH_00258	CDS	1260	yhaP		COG1668	putative protein YhaP
ENMNMPHH_00259	CDS	1230	yhaO		COG0420	putative metallophosphoesterase YhaO
ENMNMPHH_00260	CDS	3024	yhaN		COG4717	putative protein YhaN
ENMNMPHH_00261	CDS	1215	tetA_2			Tetracycline resistance protein, class B
ENMNMPHH_00262	CDS	948	yhaM	3.1.-.-	COG3481	3'-5' exoribonuclease YhaM
ENMNMPHH_00263	CDS	192	yhaL			Sporulation protein YhaL
ENMNMPHH_00264	CDS	870	prsA	5.2.1.8	COG0760	Foldase protein PrsA
ENMNMPHH_00265	CDS	138				hypothetical protein
ENMNMPHH_00266	CDS	180				hypothetical protein
ENMNMPHH_00267	CDS	540				hypothetical protein
ENMNMPHH_00268	CDS	276	yhaI			putative protein YhaI
ENMNMPHH_00269	CDS	597	hpr		COG1846	HTH-type transcriptional regulator Hpr
ENMNMPHH_00270	CDS	357				hypothetical protein
ENMNMPHH_00271	CDS	192				hypothetical protein
ENMNMPHH_00272	CDS	522	trpP			putative tryptophan transport protein
ENMNMPHH_00273	CDS	1077	serC	2.6.1.52	COG1932	Phosphoserine aminotransferase
ENMNMPHH_00274	CDS	426	hit_1		COG0537	Protein hit
ENMNMPHH_00275	CDS	747	ecsA		COG1131	ABC-type transporter ATP-binding protein EcsA
ENMNMPHH_00276	CDS	1185				hypothetical protein
ENMNMPHH_00277	CDS	708				hypothetical protein
ENMNMPHH_00278	CDS	1200	amaA	3.5.1.14		N-acyl-L-amino acid amidohydrolase
ENMNMPHH_00279	CDS	651	pgpB_2	3.1.3.27	COG0671	Phosphatidylglycerophosphatase B
ENMNMPHH_00280	CDS	1386				hypothetical protein
ENMNMPHH_00281	CDS	504	hmoB	1.14.14.18	COG2329	Heme-degrading monooxygenase HmoB
ENMNMPHH_00282	CDS	2145	pbpF_2		COG0744	Penicillin-binding protein 1F
ENMNMPHH_00283	CDS	1062	hemE	4.1.1.37	COG0407	Uroporphyrinogen decarboxylase
ENMNMPHH_00284	CDS	939	hemH	4.99.1.1	COG0276	Ferrochelatase
ENMNMPHH_00285	CDS	1422	hemY	1.3.3.4	COG1232	Protoporphyrinogen oxidase
ENMNMPHH_00286	CDS	573	bm3R1			HTH-type transcriptional repressor Bm3R1
ENMNMPHH_00287	CDS	2478	yueB_1		COG1511	ESX secretion system protein YueB
ENMNMPHH_00288	CDS	1014	degA_1		COG1609	HTH-type transcriptional regulator DegA
ENMNMPHH_00289	CDS	2064	katE	1.11.1.6	COG0753	Catalase HPII
ENMNMPHH_00290	CDS	135				hypothetical protein
ENMNMPHH_00291	CDS	741			COG1234	putative protein
ENMNMPHH_00292	CDS	990	lplJ	6.3.1.20	COG0095	Lipoate-protein ligase LplJ
ENMNMPHH_00293	CDS	1557	lcfB_1	6.2.1.3	COG0318	Long-chain-fatty-acid--CoA ligase
ENMNMPHH_00294	CDS	771	crt_1	4.2.1.150	COG1024	Short-chain-enoyl-CoA hydratase
ENMNMPHH_00295	CDS	540				hypothetical protein
ENMNMPHH_00296	CDS	552	sutR		COG1396	HTH-type transcriptional regulator SutR
ENMNMPHH_00297	CDS	720	ygaZ		COG1296	Inner membrane protein YgaZ
ENMNMPHH_00298	CDS	306				hypothetical protein
ENMNMPHH_00299	CDS	1269	htpX_2	3.4.24.-		Protease HtpX
ENMNMPHH_00300	CDS	1287	aceA	4.1.3.1	COG2224	Isocitrate lyase
ENMNMPHH_00301	CDS	1023	iolX_1	1.1.1.370	COG0673	scyllo-inositol 2-dehydrogenase (NAD(+))
ENMNMPHH_00302	CDS	1509	rbsA_1	3.6.3.17	COG1129	Ribose import ATP-binding protein RbsA
ENMNMPHH_00303	CDS	999	rbsC_1		COG1172	Ribose import permease protein RbsC
ENMNMPHH_00304	CDS	960	rbsB_1		COG1879	Ribose import binding protein RbsB
ENMNMPHH_00305	CDS	1008	degA_2		COG1609	HTH-type transcriptional regulator DegA
ENMNMPHH_00306	CDS	1023	iolG_2	1.1.1.18	COG0673	Myo-inositol 2-dehydrogenase
ENMNMPHH_00307	CDS	1008	iolC_1	2.7.1.92	COG0524	5-dehydro-2-deoxygluconokinase
ENMNMPHH_00308	CDS	1464	iolA_1	1.2.1.-	COG1012	Malonate-semialdehyde dehydrogenase
ENMNMPHH_00309	CDS	1920	iolD_1	3.7.1.22	COG3962	3D-(3,5/4)-trihydroxycyclohexane-1,2-dione hydrolase
ENMNMPHH_00310	CDS	897	iolE_2	4.2.1.44	COG1082	Inosose dehydratase
ENMNMPHH_00311	CDS	789	iolB_1	5.3.1.30	COG3718	5-deoxy-glucuronate isomerase
ENMNMPHH_00312	CDS	1344	yajR		COG0477	Inner membrane transport protein YajR
ENMNMPHH_00313	CDS	573	comK_1		COG4903	Competence transcription factor
ENMNMPHH_00314	CDS	363				hypothetical protein
ENMNMPHH_00315	CDS	618	ydjZ_1		COG0398	TVP38/TMEM64 family inner membrane protein YdjZ
ENMNMPHH_00316	CDS	504	sipV	3.4.21.89	COG0681	Signal peptidase I V
ENMNMPHH_00317	CDS	1113	mdtL			Multidrug resistance protein MdtL
ENMNMPHH_00318	CDS	3513	addB	3.1.-.-	COG3857	ATP-dependent helicase/deoxyribonuclease subunit B
ENMNMPHH_00319	CDS	3708	addA	3.1.-.-	COG1074	ATP-dependent helicase/nuclease subunit A
ENMNMPHH_00320	CDS	1182	sbcD		COG0420	Nuclease SbcCD subunit D
ENMNMPHH_00321	CDS	3360	sbcC			Nuclease SbcCD subunit C
ENMNMPHH_00322	CDS	303				hypothetical protein
ENMNMPHH_00323	CDS	219	gerPF_1			putative spore germination protein GerPF
ENMNMPHH_00324	CDS	387	gerPE			putative spore germination protein GerPE
ENMNMPHH_00325	CDS	177	gerPD			putative spore germination protein GerPD
ENMNMPHH_00326	CDS	627	gerPC			putative spore germination protein GerPC
ENMNMPHH_00327	CDS	216	gerPB			putative spore germination protein GerPB
ENMNMPHH_00328	CDS	222	gerPA			putative spore germination protein GerPA
ENMNMPHH_00329	CDS	855	araQ_4		COG0395	L-arabinose transport system permease protein AraQ
ENMNMPHH_00330	CDS	888	lacF_2			Lactose transport system permease protein LacF
ENMNMPHH_00331	CDS	1263			COG1653	putative ABC transporter-binding protein
ENMNMPHH_00332	CDS	2169	bglB	3.2.1.21	COG1472	Thermostable beta-glucosidase B
ENMNMPHH_00333	CDS	3345		2.4.1.333	COG3459	1,2-beta-oligoglucan phosphorylase
ENMNMPHH_00334	CDS	972	exuR_1		COG1609	putative HTH-type transcriptional repressor ExuR
ENMNMPHH_00335	CDS	2124	topB_1	5.99.1.2	COG0550	DNA topoisomerase 3
ENMNMPHH_00336	CDS	459				hypothetical protein
ENMNMPHH_00337	CDS	1164				hypothetical protein
ENMNMPHH_00338	CDS	174	yisI	3.1.3.-		Aspartyl-phosphate phosphatase YisI
ENMNMPHH_00339	CDS	906	yisK_1		COG0179	putative protein YisK
ENMNMPHH_00340	CDS	684				hypothetical protein
ENMNMPHH_00341	CDS	213				hypothetical protein
ENMNMPHH_00342	CDS	1191	rocD_2	2.6.1.13	COG4992	Ornithine aminotransferase
ENMNMPHH_00343	CDS	360				hypothetical protein
ENMNMPHH_00344	CDS	567				hypothetical protein
ENMNMPHH_00345	CDS	1851	asnO	6.3.5.4	COG0367	Asparagine synthetase [glutamine-hydrolyzing] 3
ENMNMPHH_00346	CDS	879				hypothetical protein
ENMNMPHH_00347	CDS	1524	carC_1	1.3.99.26	COG1233	All-trans-zeta-carotene desaturase
ENMNMPHH_00348	CDS	1476	crtN_1	1.3.8.2		Dehydrosqualene desaturase
ENMNMPHH_00349	CDS	834	crtB_1	2.5.1.99	COG1562	All-trans-phytoene synthase
ENMNMPHH_00350	CDS	816	metQ_1		COG1464	D-methionine-binding lipoprotein MetQ
ENMNMPHH_00351	CDS	1473	crtP_1	1.14.99.44	COG1233	Diapolycopene oxygenase
ENMNMPHH_00352	CDS	660				hypothetical protein
ENMNMPHH_00353	CDS	771				hypothetical protein
ENMNMPHH_00354	CDS	1284	nrgA_1			Ammonium transporter
ENMNMPHH_00355	CDS	1362	yeeO_1		COG0534	putative FMN/FAD exporter YeeO
